"Scrip Name","Scrip","ISIN","Scrip Opt","Buy Date","Buy Qty","Buy Rate","Buy Amt","Sell Date","Sell Qty","Sell Rate","Sell Amt","Days","Gross PL","Turn Over"
"BANKNIFTY","BANKNIFTY10SEP22300PE","","PE","10-09-2020","25","45.90","1,147.50","10-09-2020","25","33.05","826.25","0","-321.25","1,147.50"
"BANKNIFTY","BANKNIFTY10SEP22300PE","","PE","10-09-2020","25","7.35","183.75","10-09-2020","25","20.00","500.00","0","316.25","816.25"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","07-09-2020","25","107.30","2,682.50","08-09-2020","25","89.10","2,227.50","1","-455.00","2,682.50"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","08-09-2020","25","84.85","2,121.25","09-09-2020","25","251.35","6,283.75","1","4,162.50","10,446.25"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","10-09-2020","25","86.40","2,160.00","10-09-2020","25","14.10","352.50","0","-1,807.50","2,160.00"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","10-09-2020","25","86.40","2,160.00","10-09-2020","25","14.50","362.50","0","-1,797.50","2,160.00"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","10-09-2020","25","0.20","5.00","10-09-2020","25","10.00","250.00","0","245.00","495.00"
"BANKNIFTY","BANKNIFTY10SEP22400PE","","PE","10-09-2020","25","11.75","293.75","10-09-2020","25","24.45","611.25","0","317.50","928.75"
"BANKNIFTY","BANKNIFTY10SEP22500PE","","PE","08-09-2020","25","111.45","2,786.25","07-09-2020","25","154.10","3,852.50","1","1,066.25","4,918.75"
"BANKNIFTY","BANKNIFTY10SEP22500PE","","PE","10-09-2020","25","196.30","4,907.50","10-09-2020","25","28.20","705.00","0","-4,202.50","4,907.50"
"BANKNIFTY","BANKNIFTY10SEP22500PE","","PE","10-09-2020","25","196.30","4,907.50","10-09-2020","25","29.20","730.00","0","-4,177.50","4,907.50"
"BANKNIFTY","BANKNIFTY10SEP22600PE","","PE","08-09-2020","25","138.30","3,457.50","07-09-2020","25","156.75","3,918.75","1","461.25","4,380.00"
"BANKNIFTY","BANKNIFTY10SEP22600PE","","PE","08-09-2020","25","137.00","3,425.00","08-09-2020","25","133.75","3,343.75","0","-81.25","3,425.00"
"BANKNIFTY","BANKNIFTY10SEP22600PE","","PE","08-09-2020","25","137.00","3,425.00","08-09-2020","25","137.15","3,428.75","0","3.75","3,432.50"
"BANKNIFTY","BANKNIFTY10SEP22600PE","","PE","09-09-2020","25","388.15","9,703.75","08-09-2020","25","132.90","3,322.50","1","-6,381.25","9,703.75"
"BANKNIFTY","BANKNIFTY10SEP22800PE","","PE","08-09-2020","25","203.90","5,097.50","08-09-2020","25","198.45","4,961.25","0","-136.25","5,097.50"
"BANKNIFTY","BANKNIFTY17SEP21100PE","","PE","14-09-2020","25","51.85","1,296.25","14-09-2020","25","48.40","1,210.00","0","-86.25","1,296.25"
"BANKNIFTY","BANKNIFTY17SEP21300PE","","PE","10-09-2020","25","60.00","1,500.00","16-09-2020","25","10.85","271.25","6","-1,228.75","1,500.00"
"BANKNIFTY","BANKNIFTY17SEP21400PE","","PE","14-09-2020","25","99.90","2,497.50","14-09-2020","25","83.50","2,087.50","0","-410.00","2,497.50"
"BANKNIFTY","BANKNIFTY17SEP21400PE","","PE","14-09-2020","25","94.60","2,365.00","14-09-2020","25","95.00","2,375.00","0","10.00","2,385.00"
"BANKNIFTY","BANKNIFTY17SEP21500PE","","PE","16-09-2020","25","16.85","421.25","10-09-2020","25","82.10","2,052.50","6","1,631.25","3,683.75"
"BANKNIFTY","BANKNIFTY17SEP21700PE","","PE","10-09-2020","25","116.60","2,915.00","16-09-2020","25","26.70","667.50","6","-2,247.50","2,915.00"
"BANKNIFTY","BANKNIFTY17SEP21900PE","","PE","16-09-2020","25","47.00","1,175.00","10-09-2020","25","156.55","3,913.75","6","2,738.75","6,652.50"
"BANKNIFTY","BANKNIFTY17SEP22100PE","","PE","16-09-2020","25","44.70","1,117.50","16-09-2020","25","108.05","2,701.25","0","1,583.75","4,285.00"
"BANKNIFTY","BANKNIFTY17SEP22200PE","","PE","17-09-2020","25","44.65","1,116.25","16-09-2020","25","41.40","1,035.00","1","-81.25","1,116.25"
"BANKNIFTY","BANKNIFTY17SEP22200PE","","PE","17-09-2020","25","2.60","65.00","17-09-2020","25","17.35","433.75","0","368.75","802.50"
"BANKNIFTY","BANKNIFTY17SEP22300PE","","PE","17-09-2020","25","0.20","5.00","17-09-2020","25","14.65","366.25","0","361.25","727.50"
"BANKNIFTY","BANKNIFTY17SEP22300PE","","PE","17-09-2020","25","41.00","1,025.00","17-09-2020","25","69.10","1,727.50","0","702.50","2,430.00"
"BANKNIFTY","BANKNIFTY24SEP20600PE","","PE","24-09-2020","25","87.00","2,175.00","24-09-2020","25","36.10","902.50","0","-1,272.50","2,175.00"
"BANKNIFTY","BANKNIFTY24SEP20600PE","","PE","24-09-2020","25","27.65","691.25","24-09-2020","25","33.25","831.25","0","140.00","971.25"
"BANKNIFTY","BANKNIFTY24SEP20700PE","","PE","24-09-2020","25","113.40","2,835.00","24-09-2020","25","30.80","770.00","0","-2,065.00","2,835.00"
"BANKNIFTY","BANKNIFTY24SEP20800PE","","PE","18-09-2020","25","88.95","2,223.75","21-09-2020","25","57.35","1,433.75","3","-790.00","2,223.75"
